B00, 0
B01, 41
B01, Trade, 91.571, 107, S01, B01, 1
B01, Trade, 128.714, 108, S01, B01, 1
B01, Trade, 373.286, 99, S01, B01, 1
B01, Trade, 634.857, 99, S00, B01, 1
B01, Trade, 646.857, 99, B01, S01, 1
B01, Trade, 791.571, 99, S01, B01, 1
B01, Trade, 850.000, 99, B01, S00, 1
B01, Trade, 917.714, 99, S00, B01, 1
B01, Trade, 970.857, 99, S00, B01, 1
B01, Trade, 1104.429, 99, S00, B01, 1
B01, Trade, 1173.429, 99, S00, B01, 1
B01, Trade, 1220.286, 99, B01, S01, 1
B01, Trade, 1259.000, 99, B01, S00, 1
B01, Trade, 1356.571, 99, S00, B01, 1
B01, Trade, 1746.571, 99, B01, S01, 1
B01, Trade, 1932.143, 99, B01, S00, 1
B01, Trade, 1999.714, 99, B01, S00, 1
B01, Trade, 2093.143, 99, B01, S01, 1
B01, Trade, 2156.857, 99, B01, S00, 1
B01, Trade, 2192.286, 99, B01, S00, 1
B01, Trade, 2268.571, 99, B01, S00, 1
B01, Trade, 3000.143, 99, B01, S00, 1
B01, Trade, 3175.286, 99, B01, S00, 1
B01, Trade, 3295.000, 99, B01, S01, 1
B01, Trade, 3339.000, 99, B01, S01, 1
B01, Trade, 3403.571, 99, S00, B01, 1
B01, Trade, 3462.000, 99, B01, S00, 1
B01, Trade, 3496.143, 99, S01, B01, 1
B01, Trade, 3633.429, 99, B01, S00, 1
B01, Trade, 3815.714, 99, B01, S00, 1
B01, Trade, 3878.000, 99, B01, S00, 1
B01, Trade, 3971.143, 99, S01, B01, 1
B01, Trade, 4079.857, 99, S00, B01, 1
B01, Trade, 4344.571, 99, B01, S00, 1
B01, Trade, 4484.857, 99, S01, B01, 1
B01, Trade, 4578.429, 99, S00, B01, 1
B01, Trade, 4654.000, 99, B01, S00, 1
B01, Trade, 4708.286, 99, B01, S00, 1
B01, Trade, 4741.286, 99, B01, S00, 1
B01, Trade, 4872.429, 99, B01, S00, 1
B01, Trade, 4905.000, 99, S01, B01, 1
B02, 98
B02, Trade, 56.857, 100, S01, B02, 1
B02, Trade, 67.429, 98, B02, S00, 1
B02, Trade, 105.429, 86, B02, S00, 1
B02, Trade, 208.000, 99, S00, B02, 1
B02, Trade, 334.714, 99, S00, B02, 1
B02, Trade, 494.714, 98, S00, B02, 1
B02, Trade, 579.429, 100, S01, B02, 1
B02, Trade, 588.000, 99, S00, B02, 1
B02, Trade, 633.714, 99, S01, B02, 1
B02, Trade, 694.857, 99, S00, B02, 1
B02, Trade, 714.714, 99, S00, B02, 1
B02, Trade, 756.857, 99, B02, S00, 1
B02, Trade, 790.714, 99, S00, B02, 1
B02, Trade, 841.571, 99, S00, B02, 1
B02, Trade, 864.714, 99, B02, S00, 1
B02, Trade, 890.429, 99, S01, B02, 1
B02, Trade, 965.286, 99, S01, B02, 1
B02, Trade, 1027.714, 99, B02, S00, 1
B02, Trade, 1055.286, 99, B02, S00, 1
B02, Trade, 1102.571, 99, B02, S01, 1
B02, Trade, 1137.000, 99, S00, B02, 1
B02, Trade, 1189.286, 99, B02, S00, 1
B02, Trade, 1222.571, 99, B02, S00, 1
B02, Trade, 1303.857, 99, S00, B02, 1
B02, Trade, 1319.857, 99, S01, B02, 1
B02, Trade, 1358.143, 99, S01, B02, 1
B02, Trade, 1411.000, 99, S01, B02, 1
B02, Trade, 1438.714, 99, S00, B02, 1
B02, Trade, 1453.714, 99, S01, B02, 1
B02, Trade, 1482.857, 99, B02, S00, 1
B02, Trade, 1545.714, 99, B02, S00, 1
B02, Trade, 1569.143, 99, S01, B02, 1
B02, Trade, 1613.286, 99, S00, B02, 1
B02, Trade, 1648.000, 99, S01, B02, 1
B02, Trade, 1669.143, 99, S00, B02, 1
B02, Trade, 1693.429, 99, B02, S00, 1
B02, Trade, 1701.286, 99, S00, B02, 1
B02, Trade, 1747.714, 99, B02, S00, 1
B02, Trade, 1785.286, 99, S00, B02, 1
B02, Trade, 1865.714, 99, B02, S00, 1
B02, Trade, 1937.571, 99, B02, S00, 1
B02, Trade, 1983.000, 99, B02, S00, 1
B02, Trade, 2006.143, 99, B02, S00, 1
B02, Trade, 2076.714, 99, S00, B02, 1
B02, Trade, 2093.429, 99, B02, S00, 1
B02, Trade, 2127.714, 99, S00, B02, 1
B02, Trade, 2209.286, 99, S01, B02, 1
B02, Trade, 2281.000, 99, B02, S00, 1
B02, Trade, 2319.000, 99, B02, S00, 1
B02, Trade, 2366.857, 99, B02, S00, 1
B02, Trade, 2406.143, 99, B02, S00, 1
B02, Trade, 2419.857, 100, B02, S00, 1
B02, Trade, 2534.429, 99, S01, B02, 1
B02, Trade, 2556.286, 99, S00, B02, 1
B02, Trade, 2787.571, 99, S00, B02, 1
B02, Trade, 2796.286, 99, S01, B02, 1
B02, Trade, 2923.857, 99, S01, B02, 1
B02, Trade, 2939.286, 99, S00, B02, 1
B02, Trade, 2977.714, 99, S01, B02, 1
B02, Trade, 3057.857, 99, B02, S01, 1
B02, Trade, 3070.571, 99, S00, B02, 1
B02, Trade, 3115.571, 99, B02, S00, 1
B02, Trade, 3161.000, 99, B02, S00, 1
B02, Trade, 3213.143, 99, B02, S00, 1
B02, Trade, 3241.429, 99, B02, S00, 1
B02, Trade, 3291.571, 99, B02, S00, 1
B02, Trade, 3337.857, 99, B02, S00, 1
B02, Trade, 3412.143, 99, B02, S00, 1
B02, Trade, 3456.429, 99, B02, S01, 1
B02, Trade, 3496.286, 99, S00, B02, 1
B02, Trade, 3565.857, 99, B02, S00, 1
B02, Trade, 3682.286, 99, S00, B02, 1
B02, Trade, 3774.429, 99, B02, S00, 1
B02, Trade, 3815.429, 99, B02, S01, 1
B02, Trade, 3876.571, 99, B02, S01, 1
B02, Trade, 3935.000, 99, B02, S00, 1
B02, Trade, 3970.857, 99, S00, B02, 1
B02, Trade, 4042.571, 99, S00, B02, 1
B02, Trade, 4080.286, 99, S01, B02, 1
B02, Trade, 4149.857, 99, S01, B02, 1
B02, Trade, 4207.571, 99, S00, B02, 1
B02, Trade, 4222.000, 99, S01, B02, 1
B02, Trade, 4246.286, 99, S00, B02, 1
B02, Trade, 4272.143, 99, S01, B02, 1
B02, Trade, 4322.286, 99, B02, S00, 1
B02, Trade, 4366.857, 99, B02, S00, 1
B02, Trade, 4429.286, 99, S01, B02, 1
B02, Trade, 4468.429, 99, S00, B02, 1
B02, Trade, 4487.143, 99, S00, B02, 1
B02, Trade, 4545.571, 99, S01, B02, 1
B02, Trade, 4578.571, 99, S01, B02, 1
B02, Trade, 4616.143, 99, B02, S01, 1
B02, Trade, 4786.286, 99, B02, S00, 1
B02, Trade, 4799.857, 99, S00, B02, 1
B02, Trade, 4834.857, 99, B02, S00, 1
B02, Trade, 4867.000, 99, B02, S01, 1
B02, Trade, 4906.857, 99, S00, B02, 1
B02, Trade, 4967.857, 99, B02, S00, 1
S00, 95
S00, Trade, 67.429, 98, B02, S00, 1
S00, Trade, 105.429, 86, B02, S00, 1
S00, Trade, 208.000, 99, S00, B02, 1
S00, Trade, 334.714, 99, S00, B02, 1
S00, Trade, 494.714, 98, S00, B02, 1
S00, Trade, 588.000, 99, S00, B02, 1
S00, Trade, 634.857, 99, S00, B01, 1
S00, Trade, 694.857, 99, S00, B02, 1
S00, Trade, 714.714, 99, S00, B02, 1
S00, Trade, 756.857, 99, B02, S00, 1
S00, Trade, 790.714, 99, S00, B02, 1
S00, Trade, 841.571, 99, S00, B02, 1
S00, Trade, 850.000, 99, B01, S00, 1
S00, Trade, 864.714, 99, B02, S00, 1
S00, Trade, 917.714, 99, S00, B01, 1
S00, Trade, 970.857, 99, S00, B01, 1
S00, Trade, 1027.714, 99, B02, S00, 1
S00, Trade, 1055.286, 99, B02, S00, 1
S00, Trade, 1104.429, 99, S00, B01, 1
S00, Trade, 1137.000, 99, S00, B02, 1
S00, Trade, 1173.429, 99, S00, B01, 1
S00, Trade, 1189.286, 99, B02, S00, 1
S00, Trade, 1222.571, 99, B02, S00, 1
S00, Trade, 1259.000, 99, B01, S00, 1
S00, Trade, 1303.857, 99, S00, B02, 1
S00, Trade, 1356.571, 99, S00, B01, 1
S00, Trade, 1438.714, 99, S00, B02, 1
S00, Trade, 1482.857, 99, B02, S00, 1
S00, Trade, 1545.714, 99, B02, S00, 1
S00, Trade, 1613.286, 99, S00, B02, 1
S00, Trade, 1669.143, 99, S00, B02, 1
S00, Trade, 1693.429, 99, B02, S00, 1
S00, Trade, 1701.286, 99, S00, B02, 1
S00, Trade, 1747.714, 99, B02, S00, 1
S00, Trade, 1785.286, 99, S00, B02, 1
S00, Trade, 1865.714, 99, B02, S00, 1
S00, Trade, 1932.143, 99, B01, S00, 1
S00, Trade, 1937.571, 99, B02, S00, 1
S00, Trade, 1983.000, 99, B02, S00, 1
S00, Trade, 1999.714, 99, B01, S00, 1
S00, Trade, 2006.143, 99, B02, S00, 1
S00, Trade, 2076.714, 99, S00, B02, 1
S00, Trade, 2093.429, 99, B02, S00, 1
S00, Trade, 2127.714, 99, S00, B02, 1
S00, Trade, 2156.857, 99, B01, S00, 1
S00, Trade, 2192.286, 99, B01, S00, 1
S00, Trade, 2268.571, 99, B01, S00, 1
S00, Trade, 2281.000, 99, B02, S00, 1
S00, Trade, 2319.000, 99, B02, S00, 1
S00, Trade, 2366.857, 99, B02, S00, 1
S00, Trade, 2406.143, 99, B02, S00, 1
S00, Trade, 2419.857, 100, B02, S00, 1
S00, Trade, 2556.286, 99, S00, B02, 1
S00, Trade, 2787.571, 99, S00, B02, 1
S00, Trade, 2939.286, 99, S00, B02, 1
S00, Trade, 3000.143, 99, B01, S00, 1
S00, Trade, 3070.571, 99, S00, B02, 1
S00, Trade, 3115.571, 99, B02, S00, 1
S00, Trade, 3161.000, 99, B02, S00, 1
S00, Trade, 3175.286, 99, B01, S00, 1
S00, Trade, 3213.143, 99, B02, S00, 1
S00, Trade, 3241.429, 99, B02, S00, 1
S00, Trade, 3291.571, 99, B02, S00, 1
S00, Trade, 3337.857, 99, B02, S00, 1
S00, Trade, 3403.571, 99, S00, B01, 1
S00, Trade, 3412.143, 99, B02, S00, 1
S00, Trade, 3462.000, 99, B01, S00, 1
S00, Trade, 3496.286, 99, S00, B02, 1
S00, Trade, 3565.857, 99, B02, S00, 1
S00, Trade, 3633.429, 99, B01, S00, 1
S00, Trade, 3682.286, 99, S00, B02, 1
S00, Trade, 3774.429, 99, B02, S00, 1
S00, Trade, 3815.714, 99, B01, S00, 1
S00, Trade, 3878.000, 99, B01, S00, 1
S00, Trade, 3935.000, 99, B02, S00, 1
S00, Trade, 3970.857, 99, S00, B02, 1
S00, Trade, 4042.571, 99, S00, B02, 1
S00, Trade, 4079.857, 99, S00, B01, 1
S00, Trade, 4207.571, 99, S00, B02, 1
S00, Trade, 4246.286, 99, S00, B02, 1
S00, Trade, 4322.286, 99, B02, S00, 1
S00, Trade, 4344.571, 99, B01, S00, 1
S00, Trade, 4366.857, 99, B02, S00, 1
S00, Trade, 4468.429, 99, S00, B02, 1
S00, Trade, 4487.143, 99, S00, B02, 1
S00, Trade, 4578.429, 99, S00, B01, 1
S00, Trade, 4654.000, 99, B01, S00, 1
S00, Trade, 4708.286, 99, B01, S00, 1
S00, Trade, 4741.286, 99, B01, S00, 1
S00, Trade, 4786.286, 99, B02, S00, 1
S00, Trade, 4799.857, 99, S00, B02, 1
S00, Trade, 4834.857, 99, B02, S00, 1
S00, Trade, 4872.429, 99, B01, S00, 1
S00, Trade, 4906.857, 99, S00, B02, 1
S00, Trade, 4967.857, 99, B02, S00, 1
S01, 44
S01, Trade, 56.857, 100, S01, B02, 1
S01, Trade, 91.571, 107, S01, B01, 1
S01, Trade, 128.714, 108, S01, B01, 1
S01, Trade, 373.286, 99, S01, B01, 1
S01, Trade, 579.429, 100, S01, B02, 1
S01, Trade, 633.714, 99, S01, B02, 1
S01, Trade, 646.857, 99, B01, S01, 1
S01, Trade, 791.571, 99, S01, B01, 1
S01, Trade, 890.429, 99, S01, B02, 1
S01, Trade, 965.286, 99, S01, B02, 1
S01, Trade, 1102.571, 99, B02, S01, 1
S01, Trade, 1220.286, 99, B01, S01, 1
S01, Trade, 1319.857, 99, S01, B02, 1
S01, Trade, 1358.143, 99, S01, B02, 1
S01, Trade, 1411.000, 99, S01, B02, 1
S01, Trade, 1453.714, 99, S01, B02, 1
S01, Trade, 1569.143, 99, S01, B02, 1
S01, Trade, 1648.000, 99, S01, B02, 1
S01, Trade, 1746.571, 99, B01, S01, 1
S01, Trade, 2093.143, 99, B01, S01, 1
S01, Trade, 2209.286, 99, S01, B02, 1
S01, Trade, 2534.429, 99, S01, B02, 1
S01, Trade, 2796.286, 99, S01, B02, 1
S01, Trade, 2923.857, 99, S01, B02, 1
S01, Trade, 2977.714, 99, S01, B02, 1
S01, Trade, 3057.857, 99, B02, S01, 1
S01, Trade, 3295.000, 99, B01, S01, 1
S01, Trade, 3339.000, 99, B01, S01, 1
S01, Trade, 3456.429, 99, B02, S01, 1
S01, Trade, 3496.143, 99, S01, B01, 1
S01, Trade, 3815.429, 99, B02, S01, 1
S01, Trade, 3876.571, 99, B02, S01, 1
S01, Trade, 3971.143, 99, S01, B01, 1
S01, Trade, 4080.286, 99, S01, B02, 1
S01, Trade, 4149.857, 99, S01, B02, 1
S01, Trade, 4222.000, 99, S01, B02, 1
S01, Trade, 4272.143, 99, S01, B02, 1
S01, Trade, 4429.286, 99, S01, B02, 1
S01, Trade, 4484.857, 99, S01, B01, 1
S01, Trade, 4545.571, 99, S01, B02, 1
S01, Trade, 4578.571, 99, S01, B02, 1
S01, Trade, 4616.143, 99, B02, S01, 1
S01, Trade, 4867.000, 99, B02, S01, 1
S01, Trade, 4905.000, 99, S01, B01, 1
S02, 0
P00, 0
