B00, 37
B00, Trade, 303.000, 100, S00, B00, 1
B00, Trade, 514.714, 100, S01, B00, 1
B00, Trade, 606.429, 100, S01, B00, 1
B00, Trade, 634.857, 100, S00, B00, 1
B00, Trade, 877.429, 100, S01, B00, 1
B00, Trade, 937.857, 100, S01, B00, 1
B00, Trade, 1210.571, 100, S01, B00, 1
B00, Trade, 1331.714, 100, S00, B00, 1
B00, Trade, 1514.143, 100, S01, B00, 1
B00, Trade, 1604.286, 100, S01, B00, 1
B00, Trade, 1877.143, 100, S01, B00, 1
B00, Trade, 2029.286, 100, S00, B00, 1
B00, Trade, 2089.143, 100, S00, B00, 1
B00, Trade, 2118.286, 100, B00, S01, 1
B00, Trade, 2149.000, 100, B00, S01, 1
B00, Trade, 2179.143, 100, B00, S01, 1
B00, Trade, 2210.571, 100, B00, S00, 1
B00, Trade, 2239.143, 100, B00, S01, 1
B00, Trade, 2270.286, 100, B00, S01, 1
B00, Trade, 2359.714, 100, S01, B00, 1
B00, Trade, 2391.143, 100, S00, B00, 1
B00, Trade, 2542.143, 100, S00, B00, 1
B00, Trade, 2570.571, 100, S01, B00, 1
B00, Trade, 2932.429, 100, S01, B00, 1
B00, Trade, 3416.429, 100, B00, S01, 1
B00, Trade, 3475.429, 100, B00, S00, 1
B00, Trade, 3656.143, 100, S00, B00, 1
B00, Trade, 3746.571, 100, S00, B00, 1
B00, Trade, 3836.429, 100, S01, B00, 1
B00, Trade, 3927.857, 100, S01, B00, 1
B00, Trade, 3957.143, 100, S00, B00, 1
B00, Trade, 4108.000, 100, B00, S00, 1
B00, Trade, 4441.000, 100, S00, B00, 1
B00, Trade, 4805.286, 100, S01, B00, 1
B00, Trade, 4926.000, 100, S00, B00, 1
B00, Trade, 4957.571, 100, S01, B00, 1
B00, Trade, 4986.143, 100, B00, S00, 1
B01, 48
B01, Trade, 31.286, 100, S00, B01, 1
B01, Trade, 62.143, 100, B01, S01, 1
B01, Trade, 92.000, 100, S00, B01, 1
B01, Trade, 425.000, 100, S01, B01, 1
B01, Trade, 514.000, 100, S00, B01, 1
B01, Trade, 635.571, 100, S01, B01, 1
B01, Trade, 695.571, 100, S01, B01, 1
B01, Trade, 757.286, 100, S01, B01, 1
B01, Trade, 998.857, 100, S01, B01, 1
B01, Trade, 1452.857, 100, S00, B01, 1
B01, Trade, 1483.143, 100, S01, B01, 1
B01, Trade, 1543.857, 100, S00, B01, 1
B01, Trade, 1574.000, 100, B01, S00, 1
B01, Trade, 1604.714, 100, S00, B01, 1
B01, Trade, 1876.857, 100, S00, B01, 1
B01, Trade, 1997.714, 100, S01, B01, 1
B01, Trade, 2058.143, 100, B01, S01, 1
B01, Trade, 2088.857, 100, S01, B01, 1
B01, Trade, 2119.000, 100, S00, B01, 1
B01, Trade, 2148.429, 100, S00, B01, 1
B01, Trade, 2179.286, 100, B01, S00, 1
B01, Trade, 2389.571, 100, S01, B01, 1
B01, Trade, 2631.857, 100, S00, B01, 1
B01, Trade, 2872.571, 100, S01, B01, 1
B01, Trade, 2933.571, 100, S00, B01, 1
B01, Trade, 3052.857, 100, S00, B01, 1
B01, Trade, 3297.143, 100, S01, B01, 1
B01, Trade, 3327.857, 100, S00, B01, 1
B01, Trade, 3384.571, 100, S01, B01, 1
B01, Trade, 3448.000, 100, B01, S01, 1
B01, Trade, 3476.571, 100, B01, S01, 1
B01, Trade, 3508.571, 100, B01, S01, 1
B01, Trade, 3536.143, 100, B01, S01, 1
B01, Trade, 3596.143, 100, S01, B01, 1
B01, Trade, 3685.857, 100, S00, B01, 1
B01, Trade, 3747.286, 100, S01, B01, 1
B01, Trade, 3866.714, 100, S01, B01, 1
B01, Trade, 3927.000, 100, S00, B01, 1
B01, Trade, 4048.857, 100, S01, B01, 1
B01, Trade, 4078.714, 100, B01, S01, 1
B01, Trade, 4109.857, 100, B01, S01, 1
B01, Trade, 4141.286, 100, B01, S01, 1
B01, Trade, 4170.000, 100, B01, S01, 1
B01, Trade, 4261.143, 100, S00, B01, 1
B01, Trade, 4441.286, 100, S01, B01, 1
B01, Trade, 4533.286, 100, S01, B01, 1
B01, Trade, 4956.143, 100, S00, B01, 1
B01, Trade, 4988.571, 100, S01, B01, 1
B02, 72
B02, Trade, 32.143, 100, S01, B02, 1
B02, Trade, 60.571, 100, S00, B02, 1
B02, Trade, 90.857, 101, B02, S01, 1
B02, Trade, 151.714, 101, B02, S01, 1
B02, Trade, 272.571, 101, B02, S02, 1
B02, Trade, 303.714, 100, S01, B02, 1
B02, Trade, 332.857, 101, B02, S02, 1
B02, Trade, 424.429, 100, S00, B02, 1
B02, Trade, 484.000, 101, B02, S01, 1
B02, Trade, 605.000, 100, S00, B02, 1
B02, Trade, 665.000, 101, B02, S00, 1
B02, Trade, 726.429, 101, B02, S02, 1
B02, Trade, 755.857, 101, B02, S00, 1
B02, Trade, 846.714, 100, S01, B02, 1
B02, Trade, 938.000, 100, S00, B02, 1
B02, Trade, 968.286, 101, B02, S02, 1
B02, Trade, 998.714, 100, S00, B02, 1
B02, Trade, 1028.429, 101, B02, S01, 1
B02, Trade, 1059.000, 101, B02, S00, 1
B02, Trade, 1090.571, 101, B02, S01, 1
B02, Trade, 1149.571, 101, B02, S02, 1
B02, Trade, 1392.286, 101, B02, S01, 1
B02, Trade, 1513.143, 100, S00, B02, 1
B02, Trade, 1544.000, 100, S01, B02, 1
B02, Trade, 1573.857, 100, B02, S01, 1
B02, Trade, 1605.857, 101, B02, S02, 1
B02, Trade, 1664.857, 101, B02, S00, 1
B02, Trade, 1725.429, 101, B02, S01, 1
B02, Trade, 2028.000, 100, S01, B02, 1
B02, Trade, 2059.429, 100, B02, S00, 1
B02, Trade, 2209.000, 100, S01, B02, 1
B02, Trade, 2240.429, 100, S00, B02, 1
B02, Trade, 2269.143, 100, S00, B02, 1
B02, Trade, 2299.429, 101, B02, S02, 1
B02, Trade, 2329.714, 101, B02, S01, 1
B02, Trade, 2480.571, 101, B02, S01, 1
B02, Trade, 2541.286, 100, S01, B02, 1
B02, Trade, 2631.000, 100, S01, B02, 1
B02, Trade, 2661.143, 101, B02, S01, 1
B02, Trade, 2691.143, 100, S00, B02, 1
B02, Trade, 2722.714, 101, B02, S02, 1
B02, Trade, 2873.000, 100, S00, B02, 1
B02, Trade, 2962.571, 101, B02, S02, 1
B02, Trade, 3083.143, 101, B02, S00, 1
B02, Trade, 3233.857, 101, B02, S01, 1
B02, Trade, 3296.143, 100, S00, B02, 1
B02, Trade, 3324.571, 100, S01, B02, 1
B02, Trade, 3385.143, 100, S00, B02, 1
B02, Trade, 3414.571, 100, S00, B02, 1
B02, Trade, 3444.714, 100, S00, B02, 1
B02, Trade, 3509.286, 100, B02, S00, 1
B02, Trade, 3536.286, 100, B02, S00, 1
B02, Trade, 3565.857, 101, B02, S01, 1
B02, Trade, 3596.429, 100, S00, B02, 1
B02, Trade, 3716.429, 101, B02, S00, 1
B02, Trade, 3836.857, 101, B02, S00, 1
B02, Trade, 3867.857, 101, B02, S00, 1
