0.000, Bid:,0,Ask:,0,
0.429, Bid:,0,Ask:,1,114,1,
1.571, Bid:,1,105,1,Ask:,1,114,1,
15.286, Bid:,2,94,1,105,1,Ask:,1,114,1,
16.286, Bid:,2,94,1,105,1,Ask:,2,113,1,114,1,
16.429, Bid:,2,94,1,105,1,Ask:,2,112,1,114,1,
16.714, Bid:,2,94,1,105,1,Ask:,2,111,1,114,1,
18.286, Bid:,2,94,1,105,1,Ask:,2,110,1,114,1,
18.571, Bid:,2,94,1,105,1,Ask:,2,109,1,114,1,
19.286, Bid:,2,94,1,105,1,Ask:,2,108,1,114,1,
20.857, Bid:,2,94,1,105,1,Ask:,2,107,1,114,1,
21.286, Bid:,2,94,1,105,1,Ask:,2,106,1,114,1,
21.429, Bid:,1,94,1,Ask:,1,114,1,
30.429, Bid:,2,94,1,95,1,Ask:,1,114,1,
30.571, Bid:,2,94,1,95,1,Ask:,2,113,1,114,1,
31.143, Bid:,2,94,1,96,1,Ask:,2,113,1,114,1,
31.429, Bid:,3,94,1,96,1,97,1,Ask:,2,113,1,114,1,
31.571, Bid:,3,94,1,96,1,97,1,Ask:,3,112,1,113,1,114,1,
32.000, Bid:,3,94,1,96,1,98,1,Ask:,3,112,1,113,1,114,1,
32.143, Bid:,3,94,1,96,1,98,1,Ask:,3,111,1,113,1,114,1,
32.286, Bid:,3,94,1,96,1,98,1,Ask:,3,110,1,111,1,114,1,
32.429, Bid:,3,94,1,96,1,98,1,Ask:,3,109,1,110,1,114,1,
32.714, Bid:,3,94,1,98,1,99,1,Ask:,3,109,1,110,1,114,1,
32.857, Bid:,3,94,1,98,1,100,1,Ask:,3,109,1,110,1,114,1,
33.143, Bid:,3,94,1,100,1,101,1,Ask:,3,109,1,110,1,114,1,
33.429, Bid:,3,94,1,100,1,101,1,Ask:,3,108,1,109,1,114,1,
33.571, Bid:,3,94,1,100,1,101,1,Ask:,3,107,1,109,1,114,1,
33.714, Bid:,2,94,1,101,2,Ask:,3,107,1,109,1,114,1,
33.857, Bid:,2,94,1,101,2,Ask:,3,106,1,109,1,114,1,
35.429, Bid:,3,94,1,101,1,102,1,Ask:,3,106,1,109,1,114,1,
35.714, Bid:,3,94,1,101,1,102,1,Ask:,3,105,1,109,1,114,1,
36.000, Bid:,3,94,1,101,1,103,1,Ask:,3,105,1,109,1,114,1,
36.286, Bid:,3,94,1,101,1,103,1,Ask:,3,104,1,105,1,114,1,
36.571, Bid:,2,94,1,101,1,Ask:,2,104,1,114,1,
37.286, Bid:,2,94,1,101,1,Ask:,2,103,1,114,1,
37.714, Bid:,2,94,1,101,1,Ask:,2,102,1,114,1,
38.000, Bid:,1,94,1,Ask:,1,114,1,
45.286, Bid:,2,94,1,95,1,Ask:,1,114,1,
45.429, Bid:,2,94,1,96,1,Ask:,1,114,1,
46.000, Bid:,2,94,1,97,1,Ask:,1,114,1,
48.429, Bid:,2,94,1,97,1,Ask:,2,113,1,114,1,
49.714, Bid:,2,94,1,97,1,Ask:,2,112,1,114,1,
50.000, Bid:,2,94,1,97,1,Ask:,2,111,1,114,1,
50.857, Bid:,2,94,1,97,1,Ask:,2,110,1,114,1,
51.143, Bid:,2,94,1,97,1,Ask:,2,109,1,114,1,
51.429, Bid:,2,94,1,97,1,Ask:,2,108,1,114,1,
51.857, Bid:,2,94,1,97,1,Ask:,2,107,1,114,1,
52.571, Bid:,2,94,1,97,1,Ask:,2,106,1,114,1,
53.571, Bid:,2,94,1,97,1,Ask:,2,105,1,114,1,
53.857, Bid:,2,94,1,97,1,Ask:,2,104,1,114,1,
54.000, Bid:,2,94,1,97,1,Ask:,2,103,1,114,1,
60.286, Bid:,1,97,1,Ask:,1,103,1,
60.429, Bid:,1,97,1,Ask:,2,103,1,114,1,
60.571, Bid:,1,97,1,Ask:,1,114,1,
