B00, 1
B00, Trade, 86.143, 95, B00, S00, 1
B01, 66
B01, Trade, 38.000, 101, B01, S00, 1
B01, Trade, 79.571, 99, B01, S01, 1
B01, Trade, 92.429, 105, B01, S00, 1
B01, Trade, 189.429, 100, S00, B01, 1
B01, Trade, 280.286, 99, S00, B01, 1
B01, Trade, 687.429, 99, S00, B01, 1
B01, Trade, 751.143, 99, S00, B01, 1
B01, Trade, 761.857, 99, B01, S01, 1
B01, Trade, 827.857, 99, S00, B01, 1
B01, Trade, 1011.000, 99, S01, B01, 1
B01, Trade, 1066.857, 99, S00, B01, 1
B01, Trade, 1246.000, 99, S00, B01, 1
B01, Trade, 1261.286, 99, S01, B01, 1
B01, Trade, 1273.857, 99, S01, B01, 1
B01, Trade, 1333.714, 99, S00, B01, 1
B01, Trade, 1402.857, 99, S00, B01, 1
B01, Trade, 1439.143, 99, B01, S00, 1
B01, Trade, 1546.143, 99, B01, S00, 1
B01, Trade, 1627.143, 99, B01, S00, 1
B01, Trade, 1684.714, 99, B01, S00, 1
B01, Trade, 1948.143, 99, S00, B01, 1
B01, Trade, 1987.857, 99, B01, S01, 1
B01, Trade, 2035.714, 99, S01, B01, 1
B01, Trade, 2090.000, 99, S01, B01, 1
B01, Trade, 2155.857, 99, B01, S00, 1
B01, Trade, 2211.857, 99, B01, S00, 1
B01, Trade, 2268.714, 99, B01, S00, 1
B01, Trade, 2309.571, 99, S00, B01, 1
B01, Trade, 2426.714, 99, B01, S00, 1
B01, Trade, 2470.429, 99, B01, S00, 1
B01, Trade, 2521.857, 99, B01, S01, 1
B01, Trade, 2579.286, 99, S01, B01, 1
B01, Trade, 2606.286, 99, S00, B01, 1
B01, Trade, 2657.286, 99, B01, S00, 1
B01, Trade, 2700.571, 99, S01, B01, 1
B01, Trade, 2715.571, 99, B01, S00, 1
B01, Trade, 2771.143, 99, B01, S00, 1
B01, Trade, 2798.857, 99, B01, S00, 1
B01, Trade, 3003.714, 99, S01, B01, 1
B01, Trade, 3133.714, 99, S01, B01, 1
B01, Trade, 3179.143, 99, S00, B01, 1
B01, Trade, 3257.429, 99, B01, S01, 1
B01, Trade, 3272.714, 99, B01, S00, 1
B01, Trade, 3339.286, 99, B01, S00, 1
B01, Trade, 3417.286, 99, S00, B01, 1
B01, Trade, 3543.000, 99, S01, B01, 1
B01, Trade, 3680.857, 99, B01, S01, 1
B01, Trade, 3776.286, 99, S01, B01, 1
B01, Trade, 3815.857, 99, S00, B01, 1
B01, Trade, 3837.429, 99, B01, S00, 1
B01, Trade, 3932.286, 99, S00, B01, 1
B01, Trade, 4030.286, 99, S01, B01, 1
B01, Trade, 4057.143, 99, S00, B01, 1
B01, Trade, 4122.000, 99, S00, B01, 1
B01, Trade, 4365.571, 99, S01, B01, 1
B01, Trade, 4386.571, 99, S01, B01, 1
B01, Trade, 4417.286, 99, B01, S00, 1
B01, Trade, 4432.571, 99, S00, B01, 1
B01, Trade, 4509.857, 99, B01, S01, 1
B01, Trade, 4538.571, 99, S00, B01, 1
B01, Trade, 4630.143, 99, S00, B01, 1
B01, Trade, 4683.714, 99, B01, S00, 1
B01, Trade, 4733.286, 99, B01, S00, 1
B01, Trade, 4812.429, 99, B01, S00, 1
B01, Trade, 4861.714, 99, S00, B01, 1
B01, Trade, 4903.714, 99, S01, B01, 1
B02, 100
B02, Trade, 726.000, 99, S01, B02, 1
B02, Trade, 761.714, 99, B02, S00, 1
B02, Trade, 790.286, 99, S01, B02, 1
B02, Trade, 858.571, 99, B02, S00, 1
B02, Trade, 884.000, 99, B02, S00, 1
B02, Trade, 908.571, 101, B02, S01, 1
B02, Trade, 985.000, 99, S00, B02, 1
B02, Trade, 1039.571, 99, S00, B02, 1
B02, Trade, 1184.429, 99, S00, B02, 1
B02, Trade, 1216.143, 99, S01, B02, 1
B02, Trade, 1273.714, 99, S00, B02, 1
B02, Trade, 1303.714, 99, B02, S00, 1
B02, Trade, 1336.286, 99, S01, B02, 1
B02, Trade, 1362.714, 99, B02, S00, 1
B02, Trade, 1428.714, 99, S00, B02, 1
B02, Trade, 1459.571, 99, S01, B02, 1
B02, Trade, 1514.571, 99, S00, B02, 1
B02, Trade, 1571.857, 99, B02, S01, 1
B02, Trade, 1608.857, 99, B02, S00, 1
B02, Trade, 1653.714, 99, B02, S00, 1
B02, Trade, 1702.571, 99, B02, S00, 1
B02, Trade, 1740.857, 99, B02, S00, 1
B02, Trade, 1758.429, 99, S01, B02, 1
B02, Trade, 1788.571, 99, B02, S00, 1
B02, Trade, 1856.571, 99, S00, B02, 1
B02, Trade, 1863.857, 99, S01, B02, 1
B02, Trade, 1910.286, 99, S00, B02, 1
B02, Trade, 1924.286, 99, S01, B02, 1
B02, Trade, 1953.143, 99, B02, S00, 1
B02, Trade, 2003.429, 99, S00, B02, 1
B02, Trade, 2050.000, 99, S01, B02, 1
B02, Trade, 2093.000, 99, S00, B02, 1
B02, Trade, 2146.429, 99, B02, S01, 1
B02, Trade, 2168.286, 99, B02, S00, 1
B02, Trade, 2180.286, 99, B02, S00, 1
B02, Trade, 2231.286, 99, S01, B02, 1
B02, Trade, 2276.714, 99, S01, B02, 1
B02, Trade, 2330.857, 99, S01, B02, 1
B02, Trade, 2347.000, 99, S00, B02, 1
B02, Trade, 2363.571, 99, S01, B02, 1
B02, Trade, 2406.714, 99, S00, B02, 1
B02, Trade, 2447.143, 99, S01, B02, 1
B02, Trade, 2483.714, 99, B02, S00, 1
B02, Trade, 2543.286, 99, S00, B02, 1
B02, Trade, 2589.857, 99, S00, B02, 1
B02, Trade, 2622.143, 99, S01, B02, 1
B02, Trade, 2664.714, 99, B02, S00, 1
B02, Trade, 2754.429, 99, B02, S00, 1
B02, Trade, 2831.857, 99, B02, S00, 1
B02, Trade, 2876.143, 99, S00, B02, 1
B02, Trade, 2890.000, 99, S01, B02, 1
B02, Trade, 2908.429, 99, S00, B02, 1
B02, Trade, 2941.429, 99, B02, S00, 1
B02, Trade, 2978.143, 99, S01, B02, 1
B02, Trade, 3015.714, 99, S00, B02, 1
B02, Trade, 3028.286, 99, S00, B02, 1
B02, Trade, 3085.286, 99, B02, S00, 1
B02, Trade, 3113.714, 99, S00, B02, 1
B02, Trade, 3169.286, 99, S00, B02, 1
B02, Trade, 3233.286, 99, B02, S00, 1
B02, Trade, 3270.571, 99, B02, S01, 1
B02, Trade, 3301.857, 99, B02, S00, 1
B02, Trade, 3374.143, 99, B02, S00, 1
B02, Trade, 3390.429, 99, B02, S01, 1
B02, Trade, 3457.000, 99, S01, B02, 1
B02, Trade, 3481.429, 99, S00, B02, 1
B02, Trade, 3509.714, 99, B02, S00, 1
B02, Trade, 3552.286, 99, S00, B02, 1
B02, Trade, 3602.000, 99, B02, S00, 1
B02, Trade, 3660.857, 99, B02, S00, 1
B02, Trade, 3708.000, 99, B02, S00, 1
B02, Trade, 3751.857, 99, S00, B02, 1
B02, Trade, 3803.286, 99, B02, S00, 1
B02, Trade, 3832.143, 99, S01, B02, 1
B02, Trade, 3862.286, 99, B02, S01, 1
B02, Trade, 3899.143, 99, S00, B02, 1
B02, Trade, 3972.571, 99, S00, B02, 1
B02, Trade, 3996.714, 99, B02, S01, 1
B02, Trade, 4042.714, 99, S00, B02, 1
B02, Trade, 4079.571, 99, S01, B02, 1
B02, Trade, 4163.714, 99, B02, S01, 1
B02, Trade, 4171.000, 99, B02, S00, 1
B02, Trade, 4203.143, 99, S01, B02, 1
B02, Trade, 4246.857, 99, S01, B02, 1
B02, Trade, 4278.429, 99, B02, S00, 1
B02, Trade, 4322.143, 99, S00, B02, 1
B02, Trade, 4385.714, 99, S00, B02, 1
B02, Trade, 4473.857, 99, B02, S00, 1
B02, Trade, 4510.571, 99, B02, S00, 1
B02, Trade, 4561.714, 99, B02, S00, 1
B02, Trade, 4594.286, 99, S00, B02, 1
B02, Trade, 4657.429, 99, S00, B02, 1
B02, Trade, 4711.571, 99, B02, S01, 1
B02, Trade, 4750.143, 99, B02, S00, 1
B02, Trade, 4780.714, 99, B02, S01, 1
B02, Trade, 4831.143, 99, B02, S01, 1
B02, Trade, 4878.429, 99, S00, B02, 1
B02, Trade, 4929.286, 99, S00, B02, 1
B02, Trade, 4943.286, 99, B02, S00, 1
B02, Trade, 4989.286, 99, S00, B02, 1
S00, 100
S00, Trade, 1039.571, 99, S00, B02, 1
S00, Trade, 1066.857, 99, S00, B01, 1
S00, Trade, 1184.429, 99, S00, B02, 1
S00, Trade, 1246.000, 99, S00, B01, 1
S00, Trade, 1273.714, 99, S00, B02, 1
S00, Trade, 1303.714, 99, B02, S00, 1
S00, Trade, 1333.714, 99, S00, B01, 1
S00, Trade, 1362.714, 99, B02, S00, 1
S00, Trade, 1402.857, 99, S00, B01, 1
S00, Trade, 1428.714, 99, S00, B02, 1
S00, Trade, 1439.143, 99, B01, S00, 1
S00, Trade, 1514.571, 99, S00, B02, 1
S00, Trade, 1546.143, 99, B01, S00, 1
S00, Trade, 1608.857, 99, B02, S00, 1
S00, Trade, 1627.143, 99, B01, S00, 1
S00, Trade, 1653.714, 99, B02, S00, 1
S00, Trade, 1684.714, 99, B01, S00, 1
S00, Trade, 1702.571, 99, B02, S00, 1
S00, Trade, 1740.857, 99, B02, S00, 1
S00, Trade, 1788.571, 99, B02, S00, 1
S00, Trade, 1856.571, 99, S00, B02, 1
S00, Trade, 1910.286, 99, S00, B02, 1
S00, Trade, 1948.143, 99, S00, B01, 1
S00, Trade, 1953.143, 99, B02, S00, 1
S00, Trade, 2003.429, 99, S00, B02, 1
S00, Trade, 2093.000, 99, S00, B02, 1
S00, Trade, 2155.857, 99, B01, S00, 1
S00, Trade, 2168.286, 99, B02, S00, 1
S00, Trade, 2180.286, 99, B02, S00, 1
S00, Trade, 2211.857, 99, B01, S00, 1
S00, Trade, 2268.714, 99, B01, S00, 1
S00, Trade, 2309.571, 99, S00, B01, 1
S00, Trade, 2347.000, 99, S00, B02, 1
S00, Trade, 2406.714, 99, S00, B02, 1
S00, Trade, 2426.714, 99, B01, S00, 1
S00, Trade, 2470.429, 99, B01, S00, 1
S00, Trade, 2483.714, 99, B02, S00, 1
S00, Trade, 2543.286, 99, S00, B02, 1
S00, Trade, 2589.857, 99, S00, B02, 1
S00, Trade, 2606.286, 99, S00, B01, 1
S00, Trade, 2657.286, 99, B01, S00, 1
S00, Trade, 2664.714, 99, B02, S00, 1
S00, Trade, 2715.571, 99, B01, S00, 1
S00, Trade, 2754.429, 99, B02, S00, 1
S00, Trade, 2771.143, 99, B01, S00, 1
S00, Trade, 2798.857, 99, B01, S00, 1
S00, Trade, 2831.857, 99, B02, S00, 1
S00, Trade, 2876.143, 99, S00, B02, 1
S00, Trade, 2908.429, 99, S00, B02, 1
S00, Trade, 2941.429, 99, B02, S00, 1
S00, Trade, 3015.714, 99, S00, B02, 1
S00, Trade, 3028.286, 99, S00, B02, 1
S00, Trade, 3085.286, 99, B02, S00, 1
S00, Trade, 3113.714, 99, S00, B02, 1
S00, Trade, 3169.286, 99, S00, B02, 1
S00, Trade, 3179.143, 99, S00, B01, 1
S00, Trade, 3233.286, 99, B02, S00, 1
S00, Trade, 3272.714, 99, B01, S00, 1
S00, Trade, 3301.857, 99, B02, S00, 1
S00, Trade, 3339.286, 99, B01, S00, 1
S00, Trade, 3374.143, 99, B02, S00, 1
S00, Trade, 3417.286, 99, S00, B01, 1
S00, Trade, 3481.429, 99, S00, B02, 1
S00, Trade, 3509.714, 99, B02, S00, 1
S00, Trade, 3552.286, 99, S00, B02, 1
S00, Trade, 3602.000, 99, B02, S00, 1
S00, Trade, 3660.857, 99, B02, S00, 1
S00, Trade, 3708.000, 99, B02, S00, 1
S00, Trade, 3751.857, 99, S00, B02, 1
S00, Trade, 3803.286, 99, B02, S00, 1
S00, Trade, 3815.857, 99, S00, B01, 1
S00, Trade, 3837.429, 99, B01, S00, 1
S00, Trade, 3899.143, 99, S00, B02, 1
S00, Trade, 3932.286, 99, S00, B01, 1
S00, Trade, 3972.571, 99, S00, B02, 1
S00, Trade, 4042.714, 99, S00, B02, 1
S00, Trade, 4057.143, 99, S00, B01, 1
S00, Trade, 4122.000, 99, S00, B01, 1
S00, Trade, 4171.000, 99, B02, S00, 1
S00, Trade, 4278.429, 99, B02, S00, 1
S00, Trade, 4322.143, 99, S00, B02, 1
S00, Trade, 4385.714, 99, S00, B02, 1
S00, Trade, 4417.286, 99, B01, S00, 1
S00, Trade, 4432.571, 99, S00, B01, 1
S00, Trade, 4473.857, 99, B02, S00, 1
S00, Trade, 4510.571, 99, B02, S00, 1
S00, Trade, 4538.571, 99, S00, B01, 1
S00, Trade, 4561.714, 99, B02, S00, 1
S00, Trade, 4594.286, 99, S00, B02, 1
S00, Trade, 4630.143, 99, S00, B01, 1
S00, Trade, 4657.429, 99, S00, B02, 1
S00, Trade, 4683.714, 99, B01, S00, 1
S00, Trade, 4733.286, 99, B01, S00, 1
S00, Trade, 4750.143, 99, B02, S00, 1
S00, Trade, 4812.429, 99, B01, S00, 1
S00, Trade, 4861.714, 99, S00, B01, 1
S00, Trade, 4878.429, 99, S00, B02, 1
S00, Trade, 4929.286, 99, S00, B02, 1
S00, Trade, 4943.286, 99, B02, S00, 1
S00, Trade, 4989.286, 99, S00, B02, 1
S01, 59
S01, Trade, 36.571, 103, B02, S01, 1
S01, Trade, 79.571, 99, B01, S01, 1
S01, Trade, 205.714, 100, B02, S01, 1
S01, Trade, 259.429, 99, S01, B02, 1
S01, Trade, 621.286, 99, S01, B02, 1
S01, Trade, 726.000, 99, S01, B02, 1
S01, Trade, 761.857, 99, B01, S01, 1
S01, Trade, 790.286, 99, S01, B02, 1
S01, Trade, 908.571, 101, B02, S01, 1
S01, Trade, 1011.000, 99, S01, B01, 1
S01, Trade, 1216.143, 99, S01, B02, 1
S01, Trade, 1261.286, 99, S01, B01, 1
S01, Trade, 1273.857, 99, S01, B01, 1
S01, Trade, 1336.286, 99, S01, B02, 1
S01, Trade, 1459.571, 99, S01, B02, 1
S01, Trade, 1571.857, 99, B02, S01, 1
S01, Trade, 1758.429, 99, S01, B02, 1
S01, Trade, 1863.857, 99, S01, B02, 1
S01, Trade, 1924.286, 99, S01, B02, 1
S01, Trade, 1987.857, 99, B01, S01, 1
S01, Trade, 2035.714, 99, S01, B01, 1
S01, Trade, 2050.000, 99, S01, B02, 1
S01, Trade, 2090.000, 99, S01, B01, 1
S01, Trade, 2146.429, 99, B02, S01, 1
S01, Trade, 2231.286, 99, S01, B02, 1
S01, Trade, 2276.714, 99, S01, B02, 1
S01, Trade, 2330.857, 99, S01, B02, 1
S01, Trade, 2363.571, 99, S01, B02, 1
S01, Trade, 2447.143, 99, S01, B02, 1
S01, Trade, 2521.857, 99, B01, S01, 1
S01, Trade, 2579.286, 99, S01, B01, 1
S01, Trade, 2622.143, 99, S01, B02, 1
S01, Trade, 2700.571, 99, S01, B01, 1
S01, Trade, 2890.000, 99, S01, B02, 1
S01, Trade, 2978.143, 99, S01, B02, 1
S01, Trade, 3003.714, 99, S01, B01, 1
S01, Trade, 3133.714, 99, S01, B01, 1
S01, Trade, 3257.429, 99, B01, S01, 1
S01, Trade, 3270.571, 99, B02, S01, 1
S01, Trade, 3390.429, 99, B02, S01, 1
S01, Trade, 3457.000, 99, S01, B02, 1
S01, Trade, 3543.000, 99, S01, B01, 1
S01, Trade, 3680.857, 99, B01, S01, 1
S01, Trade, 3776.286, 99, S01, B01, 1
S01, Trade, 3832.143, 99, S01, B02, 1
S01, Trade, 3862.286, 99, B02, S01, 1
S01, Trade, 3996.714, 99, B02, S01, 1
S01, Trade, 4030.286, 99, S01, B01, 1
S01, Trade, 4079.571, 99, S01, B02, 1
S01, Trade, 4163.714, 99, B02, S01, 1
S01, Trade, 4203.143, 99, S01, B02, 1
S01, Trade, 4246.857, 99, S01, B02, 1
S01, Trade, 4365.571, 99, S01, B01, 1
S01, Trade, 4386.571, 99, S01, B01, 1
S01, Trade, 4509.857, 99, B01, S01, 1
S01, Trade, 4711.571, 99, B02, S01, 1
S01, Trade, 4780.714, 99, B02, S01, 1
S01, Trade, 4831.143, 99, B02, S01, 1
S01, Trade, 4903.714, 99, S01, B01, 1
S02, 0
P00, 0
