B00, 44
B00, Trade, 54.714, 55, S00, B00, 1
B00, Trade, 124.571, 67, S00, B00, 1
B00, Trade, 231.571, 49, S00, B00, 1
B00, Trade, 264.000, 46, S00, B00, 1
B00, Trade, 498.571, 65, B00, S00, 1
B00, Trade, 642.571, 58, B00, S00, 1
B00, Trade, 742.857, 69, B00, S00, 1
B00, Trade, 805.143, 69, B00, S00, 1
B00, Trade, 847.429, 60, B00, S00, 1
B00, Trade, 937.429, 42, B00, S00, 1
B00, Trade, 963.714, 57, B00, S00, 1
B00, Trade, 999.000, 75, B00, S00, 1
B00, Trade, 1116.286, 75, B00, S00, 1
B00, Trade, 1265.857, 49, B00, S00, 1
B00, Trade, 1290.429, 71, B00, P00, 1
B00, Trade, 1444.571, 57, B00, S00, 1
B00, Trade, 1532.286, 72, B00, S00, 1
B00, Trade, 1730.714, 50, B00, S00, 1
B00, Trade, 1935.857, 66, B00, S00, 1
B00, Trade, 1997.714, 55, B00, S00, 1
B00, Trade, 2269.000, 64, B00, S00, 1
B00, Trade, 2390.000, 79, B00, S00, 1
B00, Trade, 2428.000, 65, B00, S00, 1
B00, Trade, 2626.857, 50, B00, S00, 1
B00, Trade, 2692.429, 80, B00, S00, 1
B00, Trade, 2731.571, 71, B00, S00, 1
B00, Trade, 2995.000, 80, B00, S00, 1
B00, Trade, 3055.857, 80, B00, S00, 1
B00, Trade, 3113.143, 72, B00, S00, 1
B00, Trade, 3324.000, 64, B00, S00, 1
B00, Trade, 3402.571, 68, B00, P00, 1
B00, Trade, 3490.143, 53, B00, S00, 1
B00, Trade, 3595.571, 59, B00, S00, 1
B00, Trade, 3655.857, 65, B00, S00, 1
B00, Trade, 3806.857, 40, S00, B00, 1
B00, Trade, 3900.000, 72, B00, S00, 1
B00, Trade, 3922.143, 70, B00, S00, 1
B00, Trade, 4047.286, 51, B00, S00, 1
B00, Trade, 4086.714, 55, B00, S00, 1
B00, Trade, 4319.714, 64, B00, S00, 1
B00, Trade, 4483.000, 76, B00, S00, 1
B00, Trade, 4513.857, 59, B00, S00, 1
B00, Trade, 4700.000, 53, B00, S00, 1
B00, Trade, 4895.143, 60, B00, S00, 1
B01, 100
B01, Trade, 1506.714, 82, B01, S00, 1
B01, Trade, 1544.571, 94, B01, S01, 1
B01, Trade, 1594.429, 99, B01, S00, 1
B01, Trade, 1615.000, 81, B01, S00, 1
B01, Trade, 1689.857, 86, B01, S00, 1
B01, Trade, 1697.714, 97, B01, S00, 1
B01, Trade, 1727.429, 100, B01, S01, 1
B01, Trade, 1767.143, 86, B01, S00, 1
B01, Trade, 1815.571, 110, S01, B01, 1
B01, Trade, 1846.000, 105, B01, S00, 1
B01, Trade, 1856.286, 95, B01, P00, 1
B01, Trade, 1883.143, 103, B01, S01, 1
B01, Trade, 1968.143, 108, B01, S00, 1
B01, Trade, 1975.000, 102, S01, B01, 1
B01, Trade, 2030.000, 90, B01, P00, 1
B01, Trade, 2059.143, 80, B01, S00, 1
B01, Trade, 2084.286, 120, B01, S00, 1
B01, Trade, 2119.714, 81, S01, B01, 1
B01, Trade, 2143.000, 105, S01, B01, 1
B01, Trade, 2161.286, 67, S00, B01, 1
