B00, 100
B00, Trade, 1180.571, 100, B00, S00, 1
B00, Trade, 1211.286, 100, B00, S00, 1
B00, Trade, 1241.429, 100, B00, S00, 1
B00, Trade, 1271.429, 100, B00, S00, 1
B00, Trade, 1301.429, 100, S01, B00, 1
B00, Trade, 1333.143, 100, B00, S01, 1
B00, Trade, 1394.143, 100, B00, S00, 1
B00, Trade, 1482.857, 100, S01, B00, 1
B00, Trade, 1575.000, 100, S00, B00, 1
B00, Trade, 1604.286, 100, S00, B00, 1
B00, Trade, 1634.143, 100, B00, S00, 1
B00, Trade, 1668.143, 100, S01, B00, 1
B00, Trade, 1696.429, 100, S00, B00, 1
B00, Trade, 1725.429, 100, B00, S01, 1
B00, Trade, 1756.714, 100, B00, S00, 1
B00, Trade, 1787.000, 100, B00, S01, 1
B00, Trade, 1818.714, 100, B00, S01, 1
B00, Trade, 1847.571, 100, S00, B00, 1
B00, Trade, 1876.714, 100, S00, B00, 1
B00, Trade, 1907.571, 100, S01, B00, 1
B00, Trade, 1938.143, 100, B00, S00, 1
B00, Trade, 1997.571, 100, S01, B00, 1
B00, Trade, 2059.429, 100, B00, S00, 1
B00, Trade, 2118.286, 100, B00, S01, 1
B00, Trade, 2148.286, 100, S00, B00, 1
B00, Trade, 2178.571, 100, B00, S00, 1
B00, Trade, 2208.857, 100, S01, B00, 1
B00, Trade, 2239.143, 100, B00, S01, 1
B00, Trade, 2269.000, 100, S00, B00, 1
B00, Trade, 2299.571, 100, B00, S01, 1
B00, Trade, 2361.286, 100, B00, S00, 1
B00, Trade, 2390.857, 100, S00, B00, 1
B00, Trade, 2419.571, 100, B00, S00, 1
B00, Trade, 2449.714, 100, B00, S00, 1
B00, Trade, 2480.571, 100, B00, S01, 1
B00, Trade, 2511.286, 100, B00, S01, 1
B00, Trade, 2572.429, 100, B00, S00, 1
B00, Trade, 2600.714, 100, B00, S01, 1
B00, Trade, 2631.714, 100, S00, B00, 1
B00, Trade, 2661.143, 100, B00, S01, 1
B00, Trade, 2692.000, 100, B00, S01, 1
B00, Trade, 2723.143, 100, B00, S00, 1
B00, Trade, 2752.714, 100, B00, S01, 1
B00, Trade, 2782.000, 100, S00, B00, 1
B00, Trade, 2812.143, 100, B00, S00, 1
B00, Trade, 2842.714, 100, S01, B00, 1
B00, Trade, 2871.857, 100, S01, B00, 1
B00, Trade, 2902.000, 100, B00, S00, 1
B00, Trade, 2932.143, 100, S01, B00, 1
B00, Trade, 2964.286, 100, B00, S00, 1
B00, Trade, 2994.000, 100, B00, S00, 1
B00, Trade, 3024.000, 100, B00, S00, 1
B00, Trade, 3055.571, 100, B00, S01, 1
B00, Trade, 3113.429, 100, B00, S00, 1
B00, Trade, 3143.143, 100, B00, S01, 1
B00, Trade, 3174.000, 100, B00, S00, 1
B00, Trade, 3203.429, 100, B00, S01, 1
B00, Trade, 3263.714, 100, B00, S01, 1
B00, Trade, 3355.143, 100, B00, S01, 1
B00, Trade, 3384.286, 100, S01, B00, 1
B00, Trade, 3414.286, 100, S00, B00, 1
B00, Trade, 3448.000, 100, B00, S01, 1
B00, Trade, 3475.429, 100, B00, S00, 1
B00, Trade, 3508.571, 100, B00, S01, 1
B00, Trade, 3536.571, 100, S01, B00, 1
B00, Trade, 3625.429, 100, B00, S00, 1
B00, Trade, 3655.571, 100, S00, B00, 1
B00, Trade, 3685.714, 100, S00, B00, 1
B00, Trade, 3716.714, 100, S00, B00, 1
B00, Trade, 3746.571, 100, S01, B00, 1
B00, Trade, 3779.571, 100, B00, S00, 1
B00, Trade, 3836.286, 100, S01, B00, 1
B00, Trade, 3866.429, 100, S01, B00, 1
B00, Trade, 3898.571, 100, B00, S01, 1
B00, Trade, 3957.714, 100, B00, S01, 1
B00, Trade, 3987.429, 100, B00, S01, 1
B00, Trade, 4017.429, 100, S01, B00, 1
B00, Trade, 4079.571, 100, S00, B00, 1
B00, Trade, 4107.857, 100, B00, S00, 1
B00, Trade, 4141.286, 100, B00, S01, 1
B00, Trade, 4199.286, 100, B00, S00, 1
B00, Trade, 4234.000, 100, B00, S00, 1
B00, Trade, 4351.571, 100, B00, S01, 1
B00, Trade, 4410.571, 100, B00, S00, 1
B00, Trade, 4441.143, 100, B00, S01, 1
B00, Trade, 4472.714, 100, B00, S00, 1
B00, Trade, 4504.429, 100, B00, S01, 1
B00, Trade, 4531.714, 100, S01, B00, 1
B00, Trade, 4563.429, 100, S00, B00, 1
B00, Trade, 4593.000, 100, B00, S00, 1
B00, Trade, 4624.571, 100, B00, S01, 1
B00, Trade, 4684.143, 100, S00, B00, 1
B00, Trade, 4715.714, 100, B00, S00, 1
B00, Trade, 4774.857, 100, B00, S01, 1
B00, Trade, 4839.000, 100, B00, S00, 1
B00, Trade, 4868.714, 100, B00, S00, 1
B00, Trade, 4895.857, 100, B00, S01, 1
B00, Trade, 4925.429, 100, S01, B00, 1
B00, Trade, 4955.857, 100, S00, B00, 1
B00, Trade, 4986.143, 100, B00, S00, 1
B01, 100
B01, Trade, 1453.429, 100, B01, S01, 1
