B00, 32
B00, Trade, 273.143, 86, S00, B00, 1
B00, Trade, 546.429, 87, B00, S00, 1
B00, Trade, 620.286, 88, B00, S00, 1
B00, Trade, 786.286, 95, B00, S00, 1
B00, Trade, 923.429, 95, B00, S00, 1
B00, Trade, 1074.714, 91, B00, S00, 1
B00, Trade, 1152.000, 86, S00, B00, 1
B00, Trade, 1256.857, 95, B00, S00, 1
B00, Trade, 1317.286, 95, B00, S00, 1
B00, Trade, 1438.286, 90, B00, S00, 1
B00, Trade, 1498.143, 92, B00, S00, 1
B00, Trade, 1740.571, 88, B00, S00, 1
B00, Trade, 2148.714, 95, B00, S00, 1
B00, Trade, 2268.857, 95, S00, B00, 1
B00, Trade, 2480.857, 94, B00, S00, 1
B00, Trade, 2571.000, 93, B00, S00, 1
B00, Trade, 2766.571, 93, B00, S00, 1
B00, Trade, 3385.571, 94, B00, S00, 1
B00, Trade, 3705.429, 91, B00, S00, 1
B00, Trade, 3866.857, 90, S00, B00, 1
B00, Trade, 3972.143, 95, B00, S00, 1
B00, Trade, 4020.286, 88, B00, S00, 1
B00, Trade, 4107.857, 87, B00, S00, 1
B00, Trade, 4168.714, 88, B00, S00, 1
B00, Trade, 4335.714, 88, B00, S00, 1
B00, Trade, 4501.429, 91, B00, S00, 1
B00, Trade, 4682.857, 94, B00, S00, 1
B00, Trade, 4729.571, 86, B00, S00, 1
B00, Trade, 4744.429, 94, B00, S00, 1
B00, Trade, 4864.857, 87, B00, S00, 1
B00, Trade, 4910.429, 88, B00, S00, 1
B00, Trade, 4970.857, 88, B00, S00, 1
B01, 100
B01, Trade, 908.714, 98, S01, B01, 1
B01, Trade, 968.857, 93, S00, B01, 1
B01, Trade, 999.143, 95, S01, B01, 1
B01, Trade, 1059.571, 93, S00, B01, 1
B01, Trade, 1106.000, 104, B01, S01, 1
B01, Trade, 1119.714, 90, S00, B01, 1
B01, Trade, 1166.143, 95, B01, S01, 1
B01, Trade, 1210.000, 98, B01, S00, 1
B01, Trade, 1240.714, 104, B01, S01, 1
B01, Trade, 1285.857, 105, B01, S00, 1
B01, Trade, 1332.714, 104, B01, S01, 1
B01, Trade, 1362.714, 96, B01, S00, 1
B01, Trade, 1393.571, 89, S00, B01, 1
B01, Trade, 1423.286, 97, P00, B01, 1
B01, Trade, 1483.143, 96, B01, S00, 1
B01, Trade, 1543.571, 99, B01, S00, 1
B01, Trade, 1604.714, 89, S00, B01, 1
B01, Trade, 1649.571, 102, B01, S00, 1
B01, Trade, 1695.714, 101, B01, S00, 1
B01, Trade, 1755.429, 98, B01, S01, 1
B01, Trade, 1786.286, 90, S00, B01, 1
B01, Trade, 1815.571, 96, B01, S01, 1
B01, Trade, 1817.571, 104, B01, S01, 1
B01, Trade, 1846.286, 94, S00, B01, 1
B01, Trade, 1877.857, 96, B01, S00, 1
B01, Trade, 1907.000, 96, S01, B01, 1
B01, Trade, 1937.286, 95, S00, B01, 1
B01, Trade, 1969.000, 102, B01, S01, 1
B01, Trade, 2027.857, 99, S01, B01, 1
B01, Trade, 2074.857, 95, B01, P00, 1
B01, Trade, 2090.714, 103, B01, P00, 1
B01, Trade, 2148.571, 97, S01, B01, 1
B01, Trade, 2180.857, 93, S00, B01, 1
B01, Trade, 2197.857, 103, B01, P00, 1
B01, Trade, 2239.429, 100, S01, B01, 1
B01, Trade, 2299.571, 105, B01, P00, 1
B01, Trade, 2329.571, 97, B01, S00, 1
B01, Trade, 2359.571, 96, S01, B01, 1
B01, Trade, 2391.857, 96, B01, S00, 1
B01, Trade, 2420.714, 99, B01, S00, 1
B01, Trade, 2464.714, 100, B01, S00, 1
B01, Trade, 2497.714, 104, B01, P00, 1
B01, Trade, 2540.000, 96, B01, S00, 1
B01, Trade, 2585.429, 103, B01, S00, 1
B01, Trade, 2601.429, 95, S00, B01, 1
B01, Trade, 2631.714, 104, B01, P00, 1
B01, Trade, 2691.286, 96, S01, B01, 1
B01, Trade, 2706.286, 104, B01, S00, 1
B01, Trade, 2752.857, 100, B01, S00, 1
B01, Trade, 2781.571, 102, B01, S01, 1
B01, Trade, 2827.143, 98, B01, S00, 1
B01, Trade, 2857.143, 100, B01, S01, 1
B01, Trade, 2872.714, 95, B01, S00, 1
B01, Trade, 2937.429, 103, B01, S00, 1
B01, Trade, 2964.286, 98, B01, S01, 1
B01, Trade, 2993.143, 94, S00, B01, 1
B01, Trade, 3024.286, 104, B01, P00, 1
B01, Trade, 3082.714, 96, B01, S00, 1
B01, Trade, 3098.714, 96, B01, S00, 1
B01, Trade, 3128.571, 95, S00, B01, 1
B01, Trade, 3173.571, 102, S01, B01, 1
B01, Trade, 3233.286, 98, B01, S00, 1
B01, Trade, 3248.571, 102, B01, S01, 1
B01, Trade, 3265.000, 103, B01, S00, 1
B01, Trade, 3308.714, 95, S00, B01, 1
B01, Trade, 3372.000, 97, B01, S00, 1
B01, Trade, 3417.571, 100, B01, S01, 1
B01, Trade, 3538.571, 95, S00, B01, 1
B01, Trade, 3600.857, 95, B01, S00, 1
B01, Trade, 3656.286, 99, B01, S00, 1
B01, Trade, 3716.571, 100, S01, B01, 1
B01, Trade, 3732.714, 95, S00, B01, 1
B01, Trade, 3762.857, 103, B01, P00, 1
B01, Trade, 3806.714, 95, S00, B01, 1
B01, Trade, 3836.714, 100, S01, B01, 1
B01, Trade, 3927.571, 105, B01, S02, 1
B01, Trade, 4017.714, 97, S01, B01, 1
B01, Trade, 4047.714, 94, S00, B01, 1
B01, Trade, 4062.286, 97, S01, B01, 1
B01, Trade, 4109.000, 105, B01, P00, 1
B01, Trade, 4156.571, 97, B01, S01, 1
B01, Trade, 4199.857, 97, B01, S00, 1
B01, Trade, 4244.429, 97, B01, S00, 1
B01, Trade, 4275.571, 98, B01, S00, 1
B01, Trade, 4320.143, 96, B01, S00, 1
B01, Trade, 4350.429, 95, S01, B01, 1
B01, Trade, 4383.857, 104, B01, P00, 1
B01, Trade, 4410.571, 105, B01, S00, 1
B01, Trade, 4472.429, 99, B01, S00, 1
B01, Trade, 4532.714, 104, B01, P00, 1
B01, Trade, 4563.000, 97, B01, P00, 1
B01, Trade, 4608.000, 95, B01, S00, 1
B01, Trade, 4623.000, 100, P00, B01, 1
B01, Trade, 4668.000, 101, B01, S01, 1
B01, Trade, 4699.571, 96, S01, B01, 1
B01, Trade, 4789.857, 97, S01, B01, 1
B01, Trade, 4834.571, 97, B01, S00, 1
B01, Trade, 4850.143, 91, S00, B01, 1
B01, Trade, 4897.857, 95, S01, B01, 1
B01, Trade, 4957.000, 95, B01, S01, 1
B02, 100
B02, Trade, 1575.143, 105, B02, S01, 1
B02, Trade, 1620.714, 111, B02, P00, 1
B02, Trade, 1666.000, 104, S01, B02, 1
B02, Trade, 1709.857, 97, P00, B02, 1
B02, Trade, 1725.429, 101, S01, B02, 1
B02, Trade, 1758.429, 94, S00, B02, 1
B02, Trade, 1785.857, 105, S02, B02, 1
B02, Trade, 1846.714, 106, S02, B02, 1
B02, Trade, 1862.857, 96, S01, B02, 1
B02, Trade, 1924.286, 97, S01, B02, 1
B02, Trade, 1952.429, 100, S01, B02, 1
B02, Trade, 1982.714, 98, P00, B02, 1
B02, Trade, 2000.429, 95, S00, B02, 1
B02, Trade, 2043.714, 97, S01, B02, 1
B02, Trade, 2088.000, 97, S01, B02, 1
B02, Trade, 2118.571, 100, S01, B02, 1
B02, Trade, 2149.286, 105, S02, B02, 1
B02, Trade, 2178.571, 101, S01, B02, 1
B02, Trade, 2224.000, 95, S00, B02, 1
B02, Trade, 2254.143, 110, S02, B02, 1
