B00, 142
B00, Trade, 0.429, 358, B00, S00, 1
B00, Trade, 57.143, 42, B00, S00, 1
B00, Trade, 83.429, 72, B00, S00, 1
B00, Trade, 99.857, 62, B00, S00, 1
B00, Trade, 102.571, 26, S00, B00, 1
B00, Trade, 105.286, 115, B00, S00, 1
B00, Trade, 134.000, 80, B00, S00, 1
B00, Trade, 136.429, 129, B02, B00, 1
B00, Trade, 154.286, 66, B00, S01, 1
B00, Trade, 223.143, 65, B00, S02, 1
B00, Trade, 223.714, 180, B02, B00, 1
B00, Trade, 224.714, 36, S02, B00, 1
B00, Trade, 280.571, 46, B00, B02, 1
B00, Trade, 288.429, 35, B00, B00, 1
B00, Trade, 288.429, 35, B00, B00, 1
B00, Trade, 290.714, 104, B00, B02, 1
B00, Trade, 290.857, 124, S01, B00, 1
B00, Trade, 300.143, 41, B00, P00, 1
B00, Trade, 308.571, 45, B01, B00, 1
B00, Trade, 334.429, 74, B00, P00, 1
B00, Trade, 396.571, 204, B00, S01, 1
B00, Trade, 454.714, 64, B00, S00, 1
B00, Trade, 456.429, 54, B00, S00, 1
B00, Trade, 536.857, 59, B00, B02, 1
B00, Trade, 538.571, 78, S02, B00, 1
B00, Trade, 540.714, 365, B00, B01, 1
B00, Trade, 541.429, 259, B00, B01, 1
B00, Trade, 546.000, 340, B00, S01, 1
B00, Trade, 704.429, 58, B00, B02, 1
B00, Trade, 727.714, 199, B00, B02, 1
B00, Trade, 810.000, 53, B00, B01, 1
B00, Trade, 810.857, 159, S02, B00, 1
B00, Trade, 812.000, 345, B00, B01, 1
B00, Trade, 812.429, 80, B01, B00, 1
B00, Trade, 857.714, 62, B00, S00, 1
B00, Trade, 862.286, 42, B00, B01, 1
B00, Trade, 863.429, 120, S02, B00, 1
B00, Trade, 865.429, 130, B00, P00, 1
B00, Trade, 865.857, 203, S01, B00, 1
B00, Trade, 866.286, 274, B02, B00, 1
B00, Trade, 877.000, 298, B00, S01, 1
B00, Trade, 1302.143, 71, B00, B02, 1
B00, Trade, 1315.429, 263, B00, S01, 1
B00, Trade, 1317.286, 203, B00, S01, 1
B00, Trade, 1878.429, 67, B00, S00, 1
B00, Trade, 1889.857, 95, B00, S01, 1
B00, Trade, 1899.000, 155, B00, S02, 1
B00, Trade, 1899.714, 156, S01, B00, 1
B00, Trade, 1906.857, 145, B00, S00, 1
B00, Trade, 1908.571, 148, P00, B00, 1
B00, Trade, 1909.000, 185, B01, B00, 1
B00, Trade, 1910.857, 65, B00, P00, 1
B00, Trade, 2390.143, 76, B00, B01, 1
B00, Trade, 2392.286, 301, B00, B01, 1
B00, Trade, 2394.286, 46, B00, B02, 1
B00, Trade, 2395.143, 91, B02, B00, 1
B00, Trade, 2396.143, 16, B01, B00, 1
B00, Trade, 2396.429, 286, S01, B00, 1
B00, Trade, 2397.857, 440, B00, B02, 1
B00, Trade, 2398.857, 414, B00, B02, 1
B00, Trade, 2421.714, 174, B00, S02, 1
