B00, 227
B00, Trade, 30.286, 112, B00, S00, 1
B00, Trade, 31.143, 100, B01, B00, 1
B00, Trade, 92.286, 100, B00, B02, 1
B00, Trade, 151.143, 100, B00, S00, 1
B00, Trade, 151.286, 101, S02, B00, 1
B00, Trade, 152.857, 118, B00, S01, 1
B00, Trade, 155.857, 179, B00, S01, 1
B00, Trade, 156.857, 130, B00, S01, 1
B00, Trade, 157.286, 212, S01, B00, 1
B00, Trade, 181.429, 137, B00, S02, 1
B00, Trade, 275.143, 100, B00, S02, 1
B00, Trade, 275.714, 408, B00, B00, 1
B00, Trade, 275.714, 408, B00, B00, 1
B00, Trade, 277.000, 159, S01, B00, 1
B00, Trade, 333.143, 100, B00, S00, 1
B00, Trade, 334.143, 258, B01, B00, 1
B00, Trade, 335.429, 101, B00, S02, 1
B00, Trade, 363.429, 100, B00, S00, 1
B00, Trade, 398.714, 100, B00, B02, 1
B00, Trade, 424.000, 345, B00, S02, 1
B00, Trade, 483.143, 100, B00, S00, 1
B00, Trade, 576.000, 100, B00, B02, 1
B00, Trade, 604.429, 103, B00, S01, 1
B00, Trade, 607.286, 197, B00, B02, 1
B00, Trade, 666.571, 100, B00, S00, 1
B00, Trade, 702.286, 361, B00, B01, 1
B00, Trade, 755.857, 100, B00, S00, 1
B00, Trade, 878.714, 100, B00, S00, 1
B00, Trade, 880.714, 202, B00, P00, 1
B00, Trade, 881.000, 235, S02, B00, 1
B00, Trade, 907.429, 186, B00, B01, 1
B00, Trade, 971.000, 100, B00, S00, 1
B00, Trade, 1029.571, 100, B00, S02, 1
B00, Trade, 1033.286, 166, B00, B02, 1
B00, Trade, 1034.429, 303, B01, B00, 1
B00, Trade, 1035.143, 194, S01, B00, 1
B00, Trade, 1058.857, 126, B00, S02, 1
B00, Trade, 1063.000, 212, B00, P00, 1
B00, Trade, 1064.429, 402, B00, S01, 1
B00, Trade, 1094.714, 100, B00, S00, 1
B00, Trade, 1150.429, 100, B00, S00, 1
B00, Trade, 1151.857, 274, B00, B01, 1
B00, Trade, 1210.143, 100, B00, S00, 1
B00, Trade, 1212.000, 142, S01, B00, 1
B00, Trade, 1213.143, 232, S02, B00, 1
B00, Trade, 1241.000, 100, B00, S00, 1
B00, Trade, 1243.000, 100, B01, B00, 1
B00, Trade, 1271.857, 100, B00, S01, 1
B00, Trade, 1272.143, 241, S01, B00, 1
B00, Trade, 1273.286, 342, B00, B01, 1
B00, Trade, 1302.429, 100, S01, B00, 1
B00, Trade, 1332.000, 100, B00, S01, 1
B00, Trade, 1332.429, 401, S02, B00, 1
B00, Trade, 1332.714, 309, B00, B02, 1
B00, Trade, 1334.286, 255, S01, B00, 1
B00, Trade, 1334.429, 204, S02, B00, 1
B00, Trade, 1362.571, 110, B00, S00, 1
B00, Trade, 1394.714, 100, B00, S01, 1
B00, Trade, 1395.857, 244, S00, B00, 1
B00, Trade, 1397.429, 332, S00, B00, 1
B00, Trade, 1398.571, 77, S00, B00, 1
B00, Trade, 1398.714, 152, S01, B00, 1
B00, Trade, 1424.143, 99, P00, B00, 1
B00, Trade, 1486.286, 100, B00, B01, 1
B00, Trade, 1512.857, 158, B00, S00, 1
B00, Trade, 1513.000, 196, S01, B00, 1
B00, Trade, 1515.143, 349, B00, S00, 1
B00, Trade, 1517.857, 382, B00, P00, 1
B00, Trade, 1573.714, 349, B00, S00, 1
B00, Trade, 1574.143, 282, B02, B00, 1
B00, Trade, 1574.571, 228, B00, B02, 1
B00, Trade, 1604.143, 100, B00, S00, 1
B00, Trade, 1605.000, 101, S02, B00, 1
B00, Trade, 1695.714, 310, B00, B02, 1
B00, Trade, 1696.714, 100, B00, S02, 1
B00, Trade, 1725.571, 340, B00, S02, 1
B00, Trade, 1726.286, 100, S01, B00, 1
B00, Trade, 1727.571, 183, B00, S02, 1
B00, Trade, 1755.000, 124, B00, S02, 1
B00, Trade, 1815.857, 100, B00, S00, 1
B00, Trade, 1816.000, 101, S02, B00, 1
B00, Trade, 1820.429, 215, B00, S02, 1
B00, Trade, 1845.857, 293, B00, S02, 1
B00, Trade, 1847.000, 278, B00, S01, 1
B00, Trade, 1849.286, 322, B00, B01, 1
B00, Trade, 1851.286, 125, S00, B00, 1
B00, Trade, 1906.571, 100, B00, S01, 1
B00, Trade, 1940.000, 100, B00, S01, 1
B00, Trade, 1967.143, 100, S01, B00, 1
B00, Trade, 1968.000, 138, B00, S00, 1
B00, Trade, 2029.286, 363, B00, B01, 1
B00, Trade, 2059.000, 100, B00, S01, 1
B00, Trade, 2088.429, 425, B00, S02, 1
B00, Trade, 2093.571, 194, B00, S00, 1
B00, Trade, 2120.286, 219, B00, B02, 1
B00, Trade, 2148.143, 178, B00, S02, 1
B00, Trade, 2209.571, 100, B00, S00, 1
B00, Trade, 2210.286, 134, B00, B02, 1
B00, Trade, 2212.000, 100, B01, B00, 1
B00, Trade, 2271.000, 100, B00, S00, 1
B00, Trade, 2271.857, 101, S02, B00, 1
B00, Trade, 2272.714, 169, S01, B00, 1
B00, Trade, 2298.857, 228, B00, S00, 1
B00, Trade, 2359.857, 100, B00, S01, 1
B00, Trade, 2390.857, 285, B00, S00, 1
B00, Trade, 2395.571, 170, S02, B00, 1
B00, Trade, 2420.857, 100, B00, S00, 1
B00, Trade, 2450.143, 345, B00, S01, 1
B00, Trade, 2451.429, 393, B02, B00, 1
B00, Trade, 2451.857, 405, S01, B00, 1
B00, Trade, 2480.714, 419, B00, S02, 1
B00, Trade, 2482.714, 179, B00, S01, 1
B00, Trade, 2485.000, 253, B00, P00, 1
B00, Trade, 2489.714, 368, B00, P00, 1
B00, Trade, 2542.286, 100, B00, S01, 1
B00, Trade, 2570.714, 181, B00, S02, 1
B00, Trade, 2575.143, 301, B00, S02, 1
B00, Trade, 2603.143, 374, B00, B02, 1
B00, Trade, 2631.143, 100, B00, S01, 1
B00, Trade, 2663.429, 100, B00, S01, 1
B00, Trade, 2691.571, 100, B00, S00, 1
B00, Trade, 2692.143, 164, B00, S00, 1
B00, Trade, 2696.857, 391, S00, B00, 1
B00, Trade, 2753.286, 406, B00, B01, 1
B00, Trade, 2754.571, 288, S00, B00, 1
B00, Trade, 2754.714, 408, S01, B00, 1
B00, Trade, 2782.571, 100, S00, B00, 1
B00, Trade, 2783.571, 80, B01, B00, 1
B00, Trade, 2785.000, 101, B02, B00, 1
B00, Trade, 2811.571, 100, B00, S01, 1
B00, Trade, 2812.857, 484, B00, S00, 1
B00, Trade, 2841.714, 269, B00, S01, 1
B00, Trade, 2843.571, 131, B02, B00, 1
B00, Trade, 2872.143, 100, S00, B00, 1
B00, Trade, 2875.000, 187, B00, B02, 1
B00, Trade, 2875.857, 446, S00, B00, 1
B00, Trade, 2877.000, 294, B00, B01, 1
B00, Trade, 2903.143, 100, B00, B01, 1
B00, Trade, 2904.286, 100, S00, B00, 1
B00, Trade, 2904.857, 178, B02, B00, 1
B00, Trade, 2932.857, 142, B00, S01, 1
B00, Trade, 2933.429, 100, B00, S00, 1
B00, Trade, 2934.286, 100, B01, B00, 1
B00, Trade, 2936.000, 311, B00, S02, 1
B00, Trade, 3113.571, 100, B00, S02, 1
B00, Trade, 3203.143, 100, B00, S01, 1
B00, Trade, 3203.429, 308, S02, B00, 1
B00, Trade, 3233.429, 279, B00, S01, 1
B00, Trade, 3234.857, 349, B00, S00, 1
B00, Trade, 3385.143, 100, B00, S01, 1
B00, Trade, 3387.143, 196, B00, B01, 1
B00, Trade, 3387.857, 246, B00, B01, 1
B00, Trade, 3444.286, 100, B00, S00, 1
B00, Trade, 3474.857, 100, B00, S01, 1
B00, Trade, 3479.000, 347, B00, S00, 1
B00, Trade, 3505.714, 414, B00, B01, 1
B00, Trade, 3597.571, 100, B00, S00, 1
B00, Trade, 3598.000, 364, B00, S00, 1
B00, Trade, 3598.714, 342, B00, P00, 1
B00, Trade, 3625.714, 100, S00, B00, 1
B00, Trade, 3719.857, 100, B00, S00, 1
B00, Trade, 3720.857, 204, B00, S00, 1
B00, Trade, 3721.286, 404, S00, B00, 1
B00, Trade, 3721.857, 100, B01, B00, 1
B00, Trade, 3722.429, 362, S01, B00, 1
B00, Trade, 3726.000, 130, B00, S01, 1
B00, Trade, 3727.571, 131, P00, B00, 1
B00, Trade, 3746.857, 100, B00, S00, 1
B00, Trade, 3778.857, 100, B00, S00, 1
B00, Trade, 3780.429, 67, B00, S00, 1
B00, Trade, 3836.143, 100, B00, S01, 1
B00, Trade, 3896.714, 100, B00, S01, 1
B00, Trade, 3957.143, 100, B00, S02, 1
B00, Trade, 3988.000, 251, B00, S01, 1
B00, Trade, 3988.286, 100, B01, B00, 1
B00, Trade, 4017.571, 100, B00, S01, 1
B00, Trade, 4047.286, 40, S02, B00, 1
B00, Trade, 4048.571, 82, B00, P00, 1
B00, Trade, 4077.714, 100, S00, B00, 1
B00, Trade, 4078.286, 100, S01, B00, 1
B00, Trade, 4108.286, 100, B00, B01, 1
B00, Trade, 4108.429, 131, B02, B00, 1
B00, Trade, 4138.143, 100, S00, B00, 1
B00, Trade, 4169.429, 100, B00, S01, 1
B00, Trade, 4199.286, 100, B00, S01, 1
B00, Trade, 4237.429, 100, B00, B01, 1
B00, Trade, 4259.714, 100, B00, S00, 1
B00, Trade, 4382.286, 490, B00, S02, 1
B00, Trade, 4384.429, 307, B00, S01, 1
B00, Trade, 4385.286, 338, B01, B00, 1
B00, Trade, 4443.571, 372, B00, S00, 1
B00, Trade, 4443.857, 243, B00, S02, 1
B00, Trade, 4444.571, 293, B00, S00, 1
B00, Trade, 4445.286, 127, B00, P00, 1
B00, Trade, 4446.000, 62, S00, B00, 1
B00, Trade, 4471.143, 100, B00, S01, 1
B00, Trade, 4472.714, 251, B00, B02, 1
B00, Trade, 4472.857, 201, B00, S02, 1
B00, Trade, 4474.857, 22, S00, B00, 1
B00, Trade, 4506.571, 100, B00, S01, 1
B00, Trade, 4507.286, 272, S02, B00, 1
B00, Trade, 4520.000, 431, B00, B02, 1
B00, Trade, 4520.571, 289, B00, B02, 1
B00, Trade, 4532.143, 123, B00, S02, 1
B00, Trade, 4565.286, 100, B00, S01, 1
B00, Trade, 4565.571, 206, S02, B00, 1
B00, Trade, 4566.143, 294, S01, B00, 1
B00, Trade, 4592.143, 215, B00, S02, 1
B00, Trade, 4592.571, 368, B00, S01, 1
B00, Trade, 4653.286, 100, B00, S00, 1
B00, Trade, 4654.429, 299, B00, S00, 1
B00, Trade, 4654.714, 290, B00, P00, 1
B00, Trade, 4714.571, 100, B00, S00, 1
B00, Trade, 4716.571, 164, B00, B02, 1
B00, Trade, 4716.857, 287, B00, B00, 1
B00, Trade, 4716.857, 287, B00, B00, 1
B00, Trade, 4835.143, 100, B00, S01, 1
B00, Trade, 4866.429, 100, B00, B02, 1
B00, Trade, 4896.143, 182, B00, B02, 1
B00, Trade, 4901.286, 101, S02, B00, 1
B00, Trade, 4925.571, 100, B00, P00, 1
B00, Trade, 4927.143, 291, S00, B00, 1
B00, Trade, 4955.857, 192, B00, S01, 1
B00, Trade, 4958.714, 416, B00, S00, 1
B00, Trade, 4959.714, 419, B00, S00, 1
B00, Trade, 4987.857, 392, B00, B01, 1
B00, Trade, 4990.429, 353, B00, S01, 1
B01, 267
B01, Trade, 0.429, 288, B01, S02, 1
B01, Trade, 31.143, 100, B01, B00, 1
B01, Trade, 31.286, 175, B01, S01, 1
B01, Trade, 60.286, 80, S01, B01, 1
B01, Trade, 60.429, 147, B02, B01, 1
B01, Trade, 121.429, 100, B01, S00, 1
B01, Trade, 182.714, 100, B01, S01, 1
B01, Trade, 184.143, 313, B01, S02, 1
B01, Trade, 276.000, 100, B01, S02, 1
B01, Trade, 276.714, 331, B01, S02, 1
B01, Trade, 333.000, 100, B01, S00, 1
B01, Trade, 334.143, 258, B01, B00, 1
B01, Trade, 334.571, 85, B01, B02, 1
B01, Trade, 336.714, 338, B01, P00, 1
B01, Trade, 338.286, 393, B02, B01, 1
B01, Trade, 339.000, 255, S00, B01, 1
B01, Trade, 340.714, 390, S00, B01, 1
B01, Trade, 397.571, 100, B01, S00, 1
B01, Trade, 460.286, 100, B01, S00, 1
B01, Trade, 461.714, 366, B02, B01, 1
B01, Trade, 462.143, 253, P00, B01, 1
B01, Trade, 574.857, 100, B01, S01, 1
B01, Trade, 575.429, 101, S02, B01, 1
B01, Trade, 604.286, 100, B01, S01, 1
B01, Trade, 605.286, 103, B01, S02, 1
B01, Trade, 606.571, 139, B02, B01, 1
B01, Trade, 606.857, 177, S01, B01, 1
B01, Trade, 635.000, 100, B01, S01, 1
B01, Trade, 636.571, 210, B01, S00, 1
B01, Trade, 639.857, 327, B01, S01, 1
B01, Trade, 640.429, 158, S00, B01, 1
B01, Trade, 695.000, 100, B01, S01, 1
B01, Trade, 695.714, 101, S02, B01, 1
B01, Trade, 699.714, 325, B01, B02, 1
B01, Trade, 701.000, 356, B01, S00, 1
B01, Trade, 702.286, 361, B00, B01, 1
B01, Trade, 725.571, 376, B01, S00, 1
B01, Trade, 728.286, 222, S01, B01, 1
B01, Trade, 730.857, 385, B01, S02, 1
B01, Trade, 755.571, 236, B01, S02, 1
B01, Trade, 785.857, 344, B01, S00, 1
B01, Trade, 816.571, 286, B01, S01, 1
B01, Trade, 818.857, 136, B01, S02, 1
B01, Trade, 821.000, 193, S01, B01, 1
B01, Trade, 822.143, 257, S01, B01, 1
B01, Trade, 846.571, 264, B01, S00, 1
B01, Trade, 849.571, 283, B01, S00, 1
B01, Trade, 907.000, 100, B01, S00, 1
B01, Trade, 907.429, 186, B00, B01, 1
B01, Trade, 938.714, 100, B01, S01, 1
B01, Trade, 939.571, 209, P00, B01, 1
B01, Trade, 969.714, 227, B01, S01, 1
B01, Trade, 969.857, 146, S02, B01, 1
B01, Trade, 970.143, 240, B02, B01, 1
B01, Trade, 972.429, 188, B01, S00, 1
B01, Trade, 975.714, 325, B01, P00, 1
B01, Trade, 999.143, 258, B01, S00, 1
B01, Trade, 1030.000, 100, B01, S01, 1
B01, Trade, 1034.429, 303, B01, B00, 1
B01, Trade, 1034.857, 314, S00, B01, 1
B01, Trade, 1035.857, 321, S00, B01, 1
B01, Trade, 1091.286, 100, B01, S01, 1
B01, Trade, 1093.571, 168, S01, B01, 1
B01, Trade, 1094.286, 232, B01, S01, 1
B01, Trade, 1094.429, 158, S00, B01, 1
B01, Trade, 1095.143, 89, S02, B01, 1
B01, Trade, 1119.429, 100, S01, B01, 1
B01, Trade, 1150.857, 100, B01, B02, 1
B01, Trade, 1151.857, 274, B00, B01, 1
B01, Trade, 1180.143, 100, B01, S00, 1
B01, Trade, 1211.000, 100, S01, B01, 1
B01, Trade, 1212.286, 181, B01, S01, 1
B01, Trade, 1243.000, 100, B01, B00, 1
B01, Trade, 1270.857, 100, B01, S00, 1
B01, Trade, 1273.286, 342, B00, B01, 1
B01, Trade, 1274.143, 181, S01, B01, 1
B01, Trade, 1275.143, 364, B01, B01, 1
B01, Trade, 1275.143, 364, B01, B01, 1
B01, Trade, 1275.429, 445, B02, B01, 1
B01, Trade, 1276.571, 188, B01, P00, 1
