B00, 185
B00, Trade, 0.143, 367, B00, S02, 1
B00, Trade, 0.714, 113, S02, B00, 1
B00, Trade, 17.857, 94, B00, B02, 1
B00, Trade, 91.571, 89, B00, S00, 1
B00, Trade, 92.143, 239, S01, B00, 1
B00, Trade, 106.571, 153, B00, S02, 1
B00, Trade, 121.571, 93, B00, B01, 1
B00, Trade, 123.571, 117, B01, B00, 1
B00, Trade, 124.143, 284, B00, B01, 1
B00, Trade, 151.857, 63, S02, B00, 1
B00, Trade, 152.000, 241, B00, S02, 1
B00, Trade, 152.857, 48, B00, S00, 1
B00, Trade, 213.143, 93, B00, B01, 1
B00, Trade, 258.857, 90, B00, S00, 1
B00, Trade, 365.286, 87, B00, B01, 1
B00, Trade, 428.000, 90, B00, S01, 1
B00, Trade, 428.714, 275, B00, B01, 1
B00, Trade, 441.714, 85, B00, S01, 1
B00, Trade, 486.286, 119, B00, S00, 1
B00, Trade, 499.143, 181, B00, B02, 1
B00, Trade, 514.143, 138, B00, S01, 1
B00, Trade, 666.714, 95, B00, S00, 1
B00, Trade, 667.571, 152, B00, S00, 1
B00, Trade, 670.714, 89, S01, B00, 1
B00, Trade, 673.286, 45, S02, B00, 1
B00, Trade, 681.857, 71, B00, B02, 1
B00, Trade, 726.571, 95, B00, S00, 1
B00, Trade, 728.143, 111, B00, S00, 1
B00, Trade, 730.429, 375, B01, B00, 1
B00, Trade, 736.143, 288, B00, P00, 1
B00, Trade, 831.429, 95, B00, S00, 1
B00, Trade, 832.714, 186, B02, B00, 1
B00, Trade, 833.000, 334, B01, B00, 1
B00, Trade, 835.143, 371, B00, P00, 1
B00, Trade, 836.000, 387, S02, B00, 1
B00, Trade, 837.429, 315, B00, B02, 1
B00, Trade, 838.429, 424, S01, B00, 1
B00, Trade, 955.429, 88, B00, B01, 1
B00, Trade, 957.000, 135, B00, B01, 1
B00, Trade, 988.143, 398, B00, B02, 1
B00, Trade, 1062.000, 392, B00, B02, 1
B00, Trade, 1063.714, 107, B00, P00, 1
B00, Trade, 1065.857, 92, B00, B00, 1
B00, Trade, 1065.857, 92, B00, B00, 1
B00, Trade, 1074.714, 91, B00, B01, 1
B00, Trade, 1120.714, 87, B00, S00, 1
B00, Trade, 1210.286, 462, B00, S01, 1
B00, Trade, 1226.000, 177, B00, S01, 1
B00, Trade, 1245.286, 86, B00, B02, 1
B00, Trade, 1246.571, 185, B00, B00, 1
B00, Trade, 1246.571, 185, B00, B00, 1
B00, Trade, 1247.429, 367, B00, P00, 1
B00, Trade, 1247.857, 474, B00, B01, 1
B00, Trade, 1248.429, 345, B01, B00, 1
B00, Trade, 1248.857, 209, B01, B00, 1
B00, Trade, 1252.143, 168, B00, S00, 1
B00, Trade, 1304.714, 345, B00, B01, 1
B00, Trade, 1320.857, 274, B00, S02, 1
B00, Trade, 1331.429, 189, B00, S00, 1
B00, Trade, 1392.571, 89, B00, S02, 1
B00, Trade, 1407.000, 67, B00, B00, 1
B00, Trade, 1407.000, 67, B00, B00, 1
B00, Trade, 1409.000, 68, S01, B00, 1
B00, Trade, 1409.714, 95, S00, B00, 1
B00, Trade, 1414.714, 126, S00, B00, 1
B00, Trade, 1441.571, 89, B00, B02, 1
B00, Trade, 1452.429, 13, B01, B00, 1
B00, Trade, 1453.714, 93, B00, B02, 1
B00, Trade, 1467.429, 73, B00, B02, 1
B00, Trade, 1497.714, 42, B01, B00, 1
B00, Trade, 1497.857, 162, S00, B00, 1
B00, Trade, 1574.857, 90, B00, B01, 1
B00, Trade, 1576.143, 91, B00, S01, 1
B00, Trade, 1576.286, 301, B02, B00, 1
B00, Trade, 1607.000, 436, B00, S00, 1
B00, Trade, 1664.429, 86, B00, S02, 1
B00, Trade, 1664.857, 219, B00, S02, 1
B00, Trade, 1667.857, 439, B00, S00, 1
B00, Trade, 1668.571, 254, S02, B00, 1
B00, Trade, 1711.143, 94, B00, S01, 1
B00, Trade, 1742.714, 209, B00, S00, 1
B00, Trade, 1954.429, 93, B00, S00, 1
B00, Trade, 1983.429, 89, B00, B02, 1
B00, Trade, 1986.000, 185, S01, B00, 1
B00, Trade, 1987.857, 254, B01, B00, 1
B00, Trade, 1988.286, 258, S02, B00, 1
B00, Trade, 2000.714, 95, B00, S01, 1
B00, Trade, 2002.714, 201, S02, B00, 1
B00, Trade, 2006.571, 67, S02, B00, 1
B00, Trade, 2006.857, 256, B00, S02, 1
B00, Trade, 2008.429, 196, P00, B00, 1
B00, Trade, 2008.714, 263, S01, B00, 1
B00, Trade, 2035.000, 391, B00, S00, 1
B00, Trade, 2042.857, 417, B00, S00, 1
B00, Trade, 2043.143, 452, B01, B00, 1
B00, Trade, 2073.714, 372, B00, S01, 1
B00, Trade, 2075.143, 429, S02, B00, 1
B00, Trade, 2076.429, 434, S02, B00, 1
B00, Trade, 2078.857, 228, B00, S02, 1
B00, Trade, 2089.000, 90, B00, S00, 1
B00, Trade, 2171.714, 346, B00, B01, 1
B00, Trade, 2209.000, 90, B00, S00, 1
B00, Trade, 2209.857, 99, B01, B00, 1
B00, Trade, 2212.429, 110, S02, B00, 1
B00, Trade, 2212.857, 178, B01, B00, 1
B00, Trade, 2253.857, 89, B00, S00, 1
B00, Trade, 2269.143, 168, B00, S01, 1
B00, Trade, 2318.143, 288, B00, B01, 1
B00, Trade, 2781.571, 88, B00, B02, 1
B00, Trade, 2791.429, 187, B00, B02, 1
B00, Trade, 2792.000, 70, B00, B01, 1
B00, Trade, 2799.000, 83, B00, B02, 1
